Latitude,Longitude,HS,UCL,LCL,Altitud_90m,Altitud_150m,Altitud_300m,Band_9_300m,Band_10_300m,Band_11_150m,Band_11_300m,Costo_mov_300m,Dist_Bosque_90m,Dist_Bosque_150m,Dist_Bosque_300m,Dist_corredor_90m,Dist_Corredor_150m,Dist_Corredor_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.025001561,-75.41473371,12.992158,10.158536,-8.260009,2141.821429,2142.088608,2141.212025,0.002171668,294.6254182,291.814722,291.724121,5.356666667,2480.863089,2472.562686,2456.366918,4684.522461,4687.351742,4688.132295,0.156692507,145.4590542,141.7230404,1
6.024962498,-75.41463361,12.678029,11.272483,-8.405168,2143.206897,2143.282051,2141.287066,0.002168216,294.6545127,291.9503542,291.7474446,5.334448161,2469.199084,2465.735101,2446.113641,4690.007847,4692.50916,4693.514555,0.165073805,144.0824348,141.1280606,1
6.024922215,-75.41453351,12.244912,10.850275,-7.280004,2143.535714,2143.696203,2141.432177,0.002169565,294.6644247,291.991238,291.7574262,5.314569536,2466.897508,2458.353121,2435.037104,4699.881535,4699.06237,4697.952179,0.163236134,144.0855398,141.2205601,1
6.024881932,-75.41443341,11.981776,10.594996,-7.433139,2144.392857,2143.820513,2141.565079,0.002167125,294.6916768,292.0501466,291.7785943,5.291390728,2447.977575,2443.781507,2427.734382,4699.881535,4699.881525,4699.894898,0.163197967,143.9093771,140.1952918,1
6.024842869,-75.41433332,11.806002,10.426796,-7.50288,2145.37931,2144.246914,2141.734375,0.002161228,294.7350621,292.1551348,291.8174527,5.271812081,2445.167255,2437.866612,2418.717969,4709.755232,4706.752686,4703.817817,0.161818312,143.9575928,140.2292218,1
6.024803807,-75.41423322,11.52259,10.150853,-7.681727,2146.413793,2144.098765,2141.959375,0.002188239,294.7080986,292.2106572,291.7900207,5.259259259,2426.481361,2426.469672,2412.946395,4709.755232,4711.349629,4708.489675,0.163912248,144.530809,139.6913337,1
6.024763524,-75.41413312,11.310633,9.946263,-7.790557,2147.142857,2144.474359,2142.177778,0.002186503,294.7371745,292.3130528,291.8144403,5.240131579,2419.351528,2415.30567,2403.710002,4715.240629,4715.240597,4715.28479,0.168540136,144.8752305,139.2113292,1
6.02472324,-75.41403302,11.046837,9.689731,-7.952637,2147.785714,2144.265823,2142.391167,0.002184201,294.7424381,292.3593889,291.8178098,5.209459459,2406.935198,2407.170365,2392.788751,4720.726004,4719.131556,4720.119213,0.170239071,145.5644593,139.0849969,1
6.024671971,-75.41394025,10.82399,9.474365,-8.070756,2147.642857,2144.358974,2142.553797,0.002182457,294.7174518,292.353079,291.7987519,5.195286195,2399.338325,2396.670407,2382.773444,4722.635724,4723.728503,4724.893042,0.174200392,146.063646,139.0209262,1
6.024603612,-75.41385724,10.600884,9.259,-8.185493,2147.827586,2144.153846,2142.704762,0.002178054,294.7387577,292.3973839,291.8227546,5.18,2383.241383,2381.708721,2371.110426,4730.599707,4730.599673,4730.694508,0.17342725,145.1442644,138.8340637,1
