Latitude,Longitude,HS,UCL,LCL_,Altitud_90m,Altitud_150m,Altitud_300m,band_9_300m,band_10_300m,band_11_150m,band_11_300m,Costo de Movimiento_300m,Distancia a Bosque_90m,Distancia a Bosque_150m,Distancia a Bosque_300m,Distancia a corredor biologico_90m,Distancia a corredor biologico_150m,Distancia a corredor biologico_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.0901866,-75.33747865,-6.63105,9.295053," -10.974533",2152.251465,2155.776316,2154.33887,0.001390566,295.8893427,293.4105591,292.8944256,1,2681.808594,2673.192325,2638.0051,937.4849243,933.3921107,925.9744373,-0.177601424,170.0552637,163.0091204,0
6.090336747,-75.33747743,-6.81679,9.002765," -11.131214",2151.901611,2155.232877,2154.262626,0.001391713,295.9109971,293.5165258,292.9195168,1,2698.017334,2687.613197,2648.069079,922.7396851,917.186923,912.8852305,-0.18080088,165.7939209,162.445632,0
6.090485672,-75.33747743,-7.000739,10.143928," -11.286906",2151.85791,2154.826667,2153.906355,0.001396819,295.9488889,293.513467,292.9554349,0.98019802,2714.066162,2698.794561,2659.101538,908.0908203,905.8831169,899.5936085,-0.181714401,165.5228713,161.7055023,0
6.090634598,-75.33747621,-7.026828,10.007907," -11.285512",2152.162109,2154.253333,2153.652174,0.00139973,296.0191196,293.5787128,293.0227746,0.973333333,2730.1521,2710.963306,2669.130711,893.0949097,891.2344987,886.4486155,-0.186839256,161.7654302,161.2214873,0
6.090783524,-75.33747499,-7.250739,9.677057," -11.482688",2152.78833,2153.569444,2153.249158,0.001400761,296.0433175,293.5880824,293.0533948,0.946666667,2746.240967,2724.310643,2678.016685,878.1346436,875.0801159,874.6524265,-0.181240438,162.0563435,160.4890407,0
6.09093245,-75.33747499,-7.40245,9.4213," -11.608388",2153.649414,2153.263158,2152.846667,0.00140619,296.0907565,293.6203918,293.1046286,0.933110368,2762.305908,2731.990947,2687.753401,863.2993774,860.5824211,860.7225879,-0.180582027,159.6953434,159.7560407,0
6.091076493,-75.33750673,-7.599279,9.102433," -11.774706",2154.805176,2152.542857,2152.555932,0.001408771,296.0679403,293.5765648,293.0869293,0.903010033,2776.572021,2743.115684,2697.709183,850.588562,851.4726819,849.8256228,-0.175175205,159.4231213,158.7207096,0
6.091213211,-75.33756532,-7.758675,8.807891," -10.519770",2155.016357,2152.513158,2152.575758,0.001414818,296.0826167,293.5644989,293.1001386,0.879598662,2789.443604,2753.250788,2709.979715,840.0736084,840.5548584,840.9738602,-0.171584833,155.7691906,157.4839738,0
6.09134993,-75.33762392,-7.902158,8.532139," -10.641207",2154.648926,2152.447368,2152.373333,0.00142018,296.0638559,293.5467971,293.0876413,0.846153846,2801.925781,2763.100954,2718.874806,829.7106934,830.517159,835.1694698,-0.163573166,155.0276147,156.1817732,0
6.09148909,-75.33768129,-7.989358,8.315454," -10.706827",2153.585693,2152.4,2152.337748,0.00142049,296.0374623,293.4246748,293.0703587,0.826086957,2817.543701,2774.099066,2732.386511,819.2272339,824.4782819,821.0138417,-0.15927652,153.4295479,155.3802716,0
6.091625809,-75.33773988,-8.186754,7.971313," -10.879765",2151.801025,2152.39726,2152.327703,0.001425137,296.0332323,293.4131632,293.066705,0.800664452,2826.839111,2788.414063,2740.36725,809.37854,812.3110376,815.6755119,-0.15489794,153.1266327,154.3513063,0
6.091763749,-75.33779726,-7.152258,8.86026," -11.155388",2150.301025,2152.526316,2152.276667,0.001432177,296.0501492,293.4166213,293.0843075,0.774410774,2834.844238,2797.346462,2750.691571,799.5268555,802.6815259,805.3099045,-0.156071451,152.8644746,153.1274889,0
6.091901688,-75.33785585,-7.339688,8.529907," -11.307086",2149.307861,2152.947368,2152.026756,0.001432308,296.0353832,293.5371561,293.073307,0.734899329,2845.342285,2805.978284,2761.249176,789.9244385,792.7089129,799.5399097,-0.153755456,154.0956276,151.842531,0
6.092038407,-75.33791444,-7.471383,8.257844," -10.092921",2149,2152.986842,2152.123746,0.001433497,296.0137797,293.5223087,293.0529263,0.714765101,2855.802246,2817.961355,2775.295874,780.6400146,785.9477933,790.0768343,-0.148394921,153.3801378,151.5749839,0
6.092176346,-75.33797304,-7.743703,7.847645," -10.342260",2149,2153.052632,2151.949833,0.001434816,295.9955026,293.6151797,293.0367545,0.68,2865.114014,2830.700422,2782.728021,771.4919434,776.5982081,785.0053833,-0.144463773,153.0302543,150.1343641,0
6.092314286,-75.33803163,-7.870028,8.874713," -10.446142",2149.605713,2153.066667,2151.983333,0.001436213,295.983932,293.637608,293.0227651,0.655518395,2871.90332,2836.266174,2794.304643,762.6922607,765.2613598,774.5349068,-0.139671646,153.9163824,149.4994388,0
6.092451004,-75.338089,-6.756218,8.569796," -10.587721",2150.9729,2152.972222,2151.875421,0.001437815,295.9581658,293.5440629,292.9939434,0.615384615,2880.888428,2848.885901,2802.808055,754.1276245,756.6604051,767.6123526,-0.127533577,153.9145008,148.7959371,0
6.092588944,-75.3381476,-6.940212,8.257333," -10.739599",2151.450439,2153.493333,2152.123333,0.001435243,295.9501744,293.5273644,292.9854431,0.589225589,2888.414551,2856.665664,2816.159138,745.7848511,749.715109,759.2496048,-0.119872212,154.4751378,148.4830782,0
6.092726883,-75.33820497,-7.17139,7.899833," -10.939196",2151.197021,2153.552632,2152.243333,0.001439457,295.9364047,293.4563168,292.9693746,0.548494983,2895.862061,2868.856066,2825.390276,737.578125,741.455168,754.5688983,-0.114105208,153.9133166,147.593121,0
6.092863602,-75.33826356,-7.211925,7.73507,"  -9.703091",2151,2153.473684,2152.531773,0.001384234,295.9224282,293.4086586,292.9484541,0.521885522,2903.528809,2877.608607,2836.117136,729.9265747,733.0046761,744.3932121,-0.110631371,153.9163168,147.6434013,0
6.093001542,-75.33832216,-7.350634,7.474174,"  -9.821435",2151,2153.246575,2152.548822,0.001387364,295.9007862,293.4252515,292.9276677,0.485049834,2911.258057,2889.329587,2846.90716,722.4735107,726.8850359,738.1169107,-0.108959005,153.2071902,147.2801002,0
6.093139481,-75.33838075,-3.774184,7.254276,"  -9.901106",2150.787354,2153.092105,2152.729097,0.001384908,295.9015277,293.4078776,292.9289374,0.461538462,2919.084229,2898.16669,2857.375164,715.3300171,717.6169112,730.6264243,-0.110667612,154.2887847,147.2929672,0
6.0932762,-75.33843813,-3.938317,7.001453," -10.015968",2150.268555,2153.171053,2152.727273,0.001390669,295.8783656,293.4095867,292.9082223,0.427152318,2926.811035,2908.634815,2867.831941,708.4336548,712.3947325,724.9133571,-0.108527588,153.9194217,147.4877588,0
